,Chemical,Vacated 1989 OSHA PELs
317,Phenylhydrazine,"TWA 5 ppm (20 mg/m3), ST 10 ppm (45 mg/m3) [skin]"
318,Phenylphosphine,C 0.05 ppm (0.25 mg/m3)
319,Phorate,"TWA 0.05 mg/m3, ST 0.2 mg/m3 [skin]"
320,Phosdrin,"TWA 0.01 ppm (0.1 mg/m3), ST 0.03 ppm (0.3 mg/m3) [skin]"
321,Phosphine,"TWA 0.3 ppm (0.4 mg/m3), ST 1 ppm (1 mg/m3)"
322,Phosphoric acid,"TWA 1 mg/m3, ST 3 mg/m3"
323,Phosphorus oxychloride,TWA 0.1 ppm (0.6 mg/m3)
324,Phosphorus pentasulfide,"TWA 1 mg/m3, ST 3 mg/m3"
325,Phosphorus trichloride,"TWA 0.2 ppm (1.5 mg/m3), ST 0.5 ppm (3 mg/m3)"
326,Phthalic anhydride,TWA 6 mg/m3 (1 ppm)
327,m-Phthalodinitrile,TWA 5 mg/m3
329,Picloram,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
330,Piperazine dihydrochloride,TWA 5 mg/m3
331,Platinum metal (as Pt),TWA 1 mg/m3
332,Portland cement,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
333,Potassium hydroxide,TWA 2 mg/m3
334,Propargyl alcohol,TWA 1 ppm (2 mg/m3) [skin]
335,Propionic acid,TWA 10 ppm (30 mg/m3)
336,Propoxur,TWA 0.5 mg/m3
337,n-Propyl acetate,"TWA 200 ppm (840 mg/m3), ST 250 ppm (1050mg/m3)"
338,n-Propyl alcohol,"TWA 200 ppm (500 mg/m3), ST 250 ppm (625mg/m3)"
339,Propylene dichloride,"TWA 75 ppm (350 mg/m3), ST 110 ppm (510 mg/m3)"
340,Propylene glycol dinitrate,TWA 0.05 ppm (0.3 mg/m3)
341,Propylene glycol,"TWA 100 ppm (360 mg/m3), ST 150 ppm (540mg/m3)"
342,monomethyl ether,
343,Propylene oxide,TWA 20 ppm (50 mg/m3)
344,n-Propyl nitrate,"TWA 25 ppm (105 mg/m3), ST 40 ppm (170 mg/m3)"
345,Resorcinol,"TWA 10 ppm (45 mg/m3), ST 20 ppm (90 mg/m3)"
346,Ronnel,TWA 10 mg/m3
347,"Rosin core solder, pyrolysis",TWA 0.1 mg/m3
348,products (as formaldehyde),
349,Rouge,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
350,"Silica, amorphous","TWA 6 mg/m3, TWA 0.1 mg/m3 (fused)"
351,"Silica, crystalline","TWA 0.05 mg/m3 (cristobalite), TWA 0.05 mg/m3 (tridymite),"
352,(as respirable dust),"TWA 0.1 mg/m3 (quartz), TWA 0.1 mg/m3 (tripoli)"
353,Silicon,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
355,Silicon carbide,"TWA 10 mg/m3 (total), TWA 5 mg/m  (resp)"
356,Silicon tetrahydride,TWA 5 ppm (7 mg/m3)
357,Soapstone,"TWA 6 mg/m3 (total), TWA 3 mg/m3 (resp)"
358,Sodium azide,"C 0.1 ppm (as HN 3) [skin], C 0.3 mg/m  (as NaN33) [skin]"
359,Sodium bisulfite,TWA 5 mg/m3
360,Sodium fluoroacetate,"TWA 0.05 mg/m3, ST 0.15 mg/m3 [skin]"
361,Sodium hydroxide,C 2 mg/m3
362,Sodium metabisulfite,TWA 5 mg/m3
363,Stoddard solvent,TWA 525 mg/m3 (100 ppm)
364,Styrene,"TWA 50 ppm (215 mg/m3), ST 100 ppm (425 mg/m3)"
365,Subtilisins,ST 0.00006 mg/m3 [60-minute]
366,Sulfur dioxide,"TWA 2 ppm (5 mg/m3), ST 5 ppm (13 mg/m3)"
368,Sulfur monochloride,C 1 ppm (6 mg/m3)
369,Sulfur tetrafluoride,C 0.1 ppm (0.4 mg/m3)
370,Sulfuryl fluoride,"TWA 5 ppm (20 mg/m3), ST 10 ppm (40 mg/m3)"
371,Sulprofos,TWA 1 mg/m3
372,Talc,TWA 2 mg/m3 (resp)
373,Temephos,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
374,"Terphenyl (o-, m-, p-isom",ers) C 5 mg/m3 (0.5 ppm)
375,"1,1,2,2-Tetrachloroethane",TWA 1 ppm (7 mg/m3) [skin]
376,Tetrachloroethylene,TWA 25 ppm (170 mg/m3)
377,Tetrahydrofuran,"TWA 200 ppm (590 mg/m3), ST 250 ppm (735 mg/m3)"
378,Tetrasodium pyrophospha,te TWA 5 mg/m3
379,"4,4'-Thiobis(6-tert-butyl-","TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
380,m-cresol),
381,Thioglycolic acid,TWA 1 ppm (4 mg/m3) [skin]
382,Thionyl chloride,C 1 ppm (5 mg/m3)
383,"Tin (organic compounds,",TWA 0.1 mg/m3 [skin]
384,as Sn),
385,Tin(II) oxide (as Sn),TWA 2 mg/m3
386,Tin(IV) oxide (as Sn),TWA 2 mg/m3A
388,Titanium dioxide,TWA 10 mg/m3P
389,Toluene,"TWA 100 ppm (375 mg/m3), ST 150 ppm (560 mg/m3) E"
391,"Toluene-2,4-diisocyanate","TWA 0.005 ppm (0.04 mg/m3), ST 0.02 ppm(0.15 mg/m3) D"
393,m-Toluidine,TWA 2 ppm (9 mg/m3) [skin]X
394,p-Toluidine,TWA 2 ppm (9 mg/m3) [skin]
396,Tributyl phosphate,TWA 0.2 ppm (2.5 mg/m3)
397,Trichloroacetic acid,TWA 1 ppm (7 mg/m3)
398,"1,2,4-Trichlorobenzene",C 5 ppm (40 mg/m3)
399,Trichloroethylene,"TWA 50 ppm (270 mg/m3), ST 200 ppm (1080 mg/m3)"
400,"1,2,3-Trichloropropane",TWA 10 ppm (60 mg/m3)
401,"1,1,2-Trichloro-1,2,2-",TWA 1000 ppm (7600 mg/m3)
402,trifluoroethane,ST 1250 ppm (9500 mg/m3)
403,Triethylamine,"TWA 10 ppm (40 mg/m3), ST 15 ppm (60 mg/m3)"
404,Trimellitic anhydride,TWA 0.005 ppm (0.04 mg/m3)
405,Trimethylamine,"TWA 10 ppm (24 mg/m3), ST 15 ppm (36 mg/m3)"
406,"1,2,3-Trimethylbenzene",TWA 25 ppm (125 mg/m3)
407,"1,2,4-Trimethylbenzene",TWA 25 ppm (125 mg/m3)
408,"1,3,5-Trimethylbenzene",TWA 25 ppm (125 mg/m3)
410,Trimethyl phosphite,TWA 2 ppm (10 mg/m3)
411,"2,4,6-Trinitrotoluene",TWA 0.5 mg/m3 [skin]
412,Triorthocresyl phosphate,TWA 0.1 mg/m3 [skin]
413,Triphenylamine,TWA 5 mg/m3
414,Tungsten,"TWA 5 mg/m , ST 10 mg/m3 3"
415,"(insoluble compounds, as W)",
416,Tungsten,"TWA 1 mg/m3, ST 3 mg/m3"
417,"(soluble compounds, as W)",
418,Tungsten carbide,"TWA 5 mg/m3 (as W), ST 10 mg/m3 (as W),"
419,(cemented),"TWA 0.05 mg/m3 (as Co), TWA 1 mg/m3 (as Ni)"
420,Uranium (insoluble,"TWA 0.2 mg/m3, ST 0.6 mg/m3"
421,"compounds, as U)",
422,n-Valeraldehyde,TWA 50 ppm (175 mg/m3)
423,Vanadium dust,TWA 0.05 mg V 2O5/m  (resp) 3
424,Vanadium fume,C 0.05 mg V O /m32 5
425,Vinyl acetate,"TWA 10 ppm (30 mg/m3), ST 20 ppm (60 mg/m3)"
426,Vinyl bromide,TWA 5 ppm (20 mg/m3)
